journal_full,issn,journal_short
American Sociological Review,0003-1224,ASR
American Sociological Review,1939-8271,ASR
American Journal of Sociology,0002-9602,AJS
American Journal of Sociology,1537-5390,AJS
Annual Review of Sociology,0360-0572,AnnuRev
Annual Review of Sociology,1545-2115,AnnuRev
Sociological Methods & Research,0049-1241,SociolMethodsRes
Sociological Methods & Research,1552-8294,SociolMethodsRes
Social Forces,0037-7732,SocForces
Social Forces,1534-7605,SocForces
Social Networks,0378-8733,SocNet
Socius,2378-0231,Socius
Sociological Science,2330-6696,SocSci
Social Science Research,0049-089X,SSR
Social Science Research,1096-0317,SSR